kills,time,health,score,movement,rotate,shoot,reward
0,-1.3533412218093872,100,0.0,73,70,16,-1348
0,-2.8513455390930176,100,0.0,79,68,19,-1856
0,-1.3487803936004639,100,0.0,74,68,21,-1372
0,-1.4276610612869263,100,0.0,76,66,28,-1376
1,-1.5383926630020142,100,62.25922393798828,75,70,22,996
0,-1.2715296745300293,100,0.0,75,74,16,-1332
0,-1.4394341707229614,100,0.0,75,71,22,-1224
1,-1.097321629524231,100,81.1790771484375,88,56,24,2054
0,-1.941418170928955,100,0.0,68,77,18,-1735
0,-1.8993048667907715,100,0.0,86,61,24,-1930
1,-1.9850531816482544,100,70.57786560058594,66,84,16,913
0,-1.0407800674438477,100,0.0,73,71,23,-1376
0,-1.1192528009414673,100,0.0,79,73,17,-1228
0,-1.126495599746704,100,0.0,76,76,14,-538
0,-1.182532787322998,100,0.0,67,79,15,-1492
0,-1.2699966430664062,100,0.0,78,72,15,-1476
0,-1.7523598670959473,100,0.0,76,63,30,-2048
0,-1.3224356174468994,100,0.0,61,77,13,-672
0,-3.8982701301574707,100,0.0,74,71,11,-3694
0,-1.068081259727478,100,0.0,70,79,18,-1197
0,-1.552296757698059,100,0.0,78,64,19,-993
0,-1.156005620956421,100,0.0,73,63,21,-462
2,-1.4437226057052612,100,126.65339660644531,75,77,17,3720
1,-1.8266830444335938,100,83.93172454833984,62,73,23,529
0,-1.2318027019500732,100,0.0,65,63,29,-1593
3,-1.6889846324920654,100,166.67926025390625,82,59,26,5638
0,-1.8209444284439087,100,0.0,68,76,20,-1932
0,-1.3122836351394653,100,0.0,67,62,31,-1492
2,-1.2644180059432983,100,131.09747314453125,87,56,25,3740
0,-0.9017643928527832,100,0.0,75,75,15,-1529
1,-2.018200397491455,100,62.383338928222656,70,82,10,-31
1,-1.305169939994812,100,55.7578125,72,65,27,1604
0,-1.7397469282150269,100,0.0,66,83,18,-954
0,-1.2043023109436035,100,0.0,77,67,22,-1252
0,-1.0094053745269775,100,0.0,77,66,19,-1659
0,-1.0935723781585693,100,0.0,86,65,17,-1204
1,-1.157839059829712,100,52.50101852416992,71,82,16,1164
0,-1.6806190013885498,100,0.0,71,73,18,-1756
0,-1.2562246322631836,100,0.0,82,71,18,-1516
0,-1.025779128074646,100,0.0,67,75,18,-1456
0,-1.2213612794876099,100,0.0,77,65,20,-1517
1,-1.8186330795288086,100,92.6405029296875,73,73,23,777
0,-1.399540901184082,100,0.0,75,75,14,-1484
0,-1.2750442028045654,100,0.0,61,88,19,-1584
0,-1.757364273071289,100,0.0,78,66,18,-1804
1,-1.26494300365448,100,58.457645416259766,65,70,23,1829
1,-1.2523057460784912,100,67.43643951416016,70,74,21,1080
0,-1.5747051239013672,100,0.0,65,77,21,-1472
1,-1.9637844562530518,100,63.965919494628906,66,80,18,2243
0,-1.1024352312088013,100,0.0,65,75,19,-1504
0,-1.183569312095642,100,0.0,74,74,16,-1216
1,-2.378816843032837,100,54.57193374633789,61,80,20,-1
1,-1.785107135772705,100,61.437007904052734,74,75,16,820
0,-1.4717179536819458,100,0.0,74,71,23,-1354
0,-1.778555154800415,100,0.0,77,75,15,-120
0,-1.1549428701400757,100,0.0,67,77,21,-535
0,-1.9882792234420776,100,0.0,77,76,16,-1904
0,-1.4322537183761597,100,0.0,76,69,22,-1316
